1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
JUDUL,HARGA,KETERANGAN,KATEGORI,KONDISI,LOKASI,SKU ,FOTO1,FOTO2,FOTO3,FOTO4,FOTO5,FOTO6,FOTO7,FOTO8,FOTO9,,LABEL1,LABEL2,LABEL3,LABEL4,LABEL5,LABEL6,LABEL7,LABEL8,LABEL9,LABEL10,LABEL11,LABEL12,LABEL13,LABEL14,LABEL15,LABEL16,LABEL17,LABEL18,LABEL19,LABEL20,LINK TEMAN ,LINK GRUP ,STATUS FACEBOOK 
"WA 0821-2190-8612, CRAYON SET MURAH, BERGARANSI BISA COD",49,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""",Peralatan Rumah Tangga,Baru,"Arjasari, Jawa Barat, Indonesia",1,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide1.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 208,crayon set koper,,,,,,,,,,,,,jajang.irawan.5851,groups/komunitas.jualbeli.online.bandung/,"1. Jangan ngomongin keadilan deh, kalo masih banyak jomblo yang belum kebagian cinta"
"WA 0821-2190-8612, CRAYON ANAK, BERGARANSI BISA COD",0,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""","Buku, Film, & Musik",Baru,"Baleendah, Jawa Barat, Indonesia",2,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide2.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 209,crayon set koper,,,,,,,,,,,,,deni.mulyadi.1485,groups/197560373608636/,"2. Cantik atau ganteng itu relatif, tergantung letak kamera dan intensitas cahaya"
"WA 0821-2190-8612, CRAYON ANTI KOTOR, BERGARANSI BISA COD",49000,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""",Bayi & Anak-Anak,Baru,"Campaka, Andir, Bandung",3,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide3.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 210,crayon set koper,,,,,,,,,,,,,profile.php?id=100031862254225,groups/marketplace.kota.bandung/,"3. Hargai kedua orang tuamu, mereka berhasil lulus dari sekolah tanpa bantuan Google."
"WA 0821-2190-8612, CRAYON ANTI AIR, BERGARANSI BISA COD",49,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""",Mainan & Game,Baru,"Antapani Tengah, Antapani, Bandung",4,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide4.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 211,crayon set koper,,,,,,,,,,,,,profile.php?id=100071800531653,groups/stolzcompany/,"4. Menurut penelitian, semakin cantiknya seorang mantan, gaya gravitasi pengen balikan itu semakin kuat."
"WA 0821-2190-8612, CRAYON ANTI LUNTUR, BERGARANSI BISA COD",0,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""",Seni & Kerajinan,Baru,"Arcamanik, West Java",5,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide5.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 212,crayon set koper,,,,,,,,,,,,,duniya.juice.9,groups/298458684076200/,5. Waktu orang rajin bekerja adalah sekarang. Waktu orang malas bekerja adalah besok.
"WA 0821-2190-8612, CRAYON SET MURAH, ISI 24 SET BISA COD",49000,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""",Lain-lain,Baru,"Batununggal, West Java",6,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide6.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 213,crayon set koper,,,,,,,,,,,,,profile.php?id=100004244925180,groups/2492327627546178/,"6. Wanita cantik bukan menjadi jaminan kehidupan kita menyenangkan, apalagi yang jelek."
"WA 0821-2190-8612, CRAYON ANAK, ISI 24 SET BISA COD",49,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""",Peralatan Rumah Tangga,Baru,"Bojongloa, Jawa Barat, Indonesia",7,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide7.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 214,crayon set koper,,,,,,,,,,,,,profile.php?id=100072189380655,groups/693545128231965/,"7. Cuma 1 yang gak ketemu nyari di google, yaitu jodoh saya."
"WA 0821-2190-8612, CRAYON ANTI KOTOR, ISI 24 SET BISA COD",0,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""","Buku, Film, & Musik",Baru,"Buahbatu, Jawa Barat, Indonesia",8,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide8.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 215,crayon set koper,,,,,,,,,,,,,aden.alby.39,groups/1867632593523889/,8. Pacarku bilang aku gila tapi aku rasa dia yang gila kenapa mau pacaran dengan orang gila. 
"WA 0821-2190-8612, CRAYON ANTI AIR, ISI 24 SET BISA COD",49000,"""Crayon Anti Kotor Set Murah Isi 24 Aman Tidak Beracun & bisa Bayar Tempat
Detail Produk : 
Merk : Deli 
Asal : China                                                      
ukuran krayon : ?8×120mm
Produk adalah Krayon Plastik 
Tidak berbekas di tangan 
Hasil warna cerah
Bentuk segitiga untuk pegangan yang ergonomis
Bersetifikat CE
Tidak beracun dan aman di gunakan 
Penjelasan Produk Via Video !!
https://youtube.com/shorts/5JvdRysBMSQ
Jangan sampai ketinggalan segera order sekarang crayon set murah tidak beracun dan bisa bayar tempat.

Info Pemesanan Hubungi Whatsapp : 0821-2292-4361""",Bayi & Anak-Anak,Baru,"Cicadas, West Java",9,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Foto 1\1\Slide9.JPG,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_1.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_2.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_3.png,C:\Users\1DAY1JUZ\Documents\Lightshot\Crayon Deli\Screenshot_4.png,,,Crayon Set Murah,Crayon Anak,Crayon Anti Kotor ,Crayon Anti Air ,Crayon Anti Luntur,crayon set 150 pcs,crayon set 216,crayon set koper,,,,,,,,,,,,,adeusmita.zahra,groups/1598449333789645/,9. Aku tanpamu bagaikan nasi kucing kehilangan karet. Berantakan dan tak karuan.
