1,2,3,4,5,6,7,8,9,10,11,12
LINK TEMAN ,LINK GRUP ,TEXT POSTINGAN BERANDA FB,FOTO POST FB,TEXT POSTINGAN GRUP  ,FOTO POST GRUP,TEXT KIRIM PESAN,KOMEN TEMAN FACEBOOK,KOMEN GRUP FACEBOOK ,FOTO POST GRUP,FOTO POST GRUP,DATA GRUP SUDAH JOIN 
/1016141503/,groups/568396653271337/,"Ya Allah, Karena-Mu kami berpagi hari, karena-Mu kami berada di sore hari, karena-Mu kami hidup, dan dengan-Mu kami mati. Hanya kepada-Mu kami akan kembali.",C:\Users\hamsa\Downloads\download.jpg,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",C:\Users\hamsa\Downloads\download.jpg,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka https://www.youtube.com/watch?v=PHPNRHlA-Ao","Keren banget ka, saya termotivasi dengan status kaka",Up ,C:\Users\hamsa\Downloads\download.jpg,C:\Users\hamsa\Downloads\download.jpg,/groups/1062734000420373/
/100027860041474/,groups/169637114133983/,""" Hidup bukan tentang menunggu badai berlalu, tetapi belajar menari di tengah hujan.""",F:\FOTO\UPLOAD\NANAS MUDA\1\2.JPG,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",F:\FOTO\UPLOAD\NANAS MUDA\1\2.JPG,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka","setuju keren banget , sukses terus yah ka",minat dong ka,F:\FOTO\UPLOAD\NANAS MUDA\1\2.JPG,F:\FOTO\UPLOAD\NANAS MUDA\1\2.JPG,/groups/602575510174655/
/100062981951279/,groups/721744701210498/,""" Optimistis adalah salah satu kualitas yang lebih terkait dengan kesuksesan dan kebahagiaan daripada yang lain.",F:\FOTO\UPLOAD\NANAS MUDA\1\3.JPG,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",F:\FOTO\UPLOAD\NANAS MUDA\1\3.JPG,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka","Keren banget ka, saya termotivasi dengan status kaka",ka ini harganya berapa ,F:\FOTO\UPLOAD\NANAS MUDA\1\3.JPG,F:\FOTO\UPLOAD\NANAS MUDA\1\3.JPG,/groups/1087860111272960/
/100012838634260/,groups/1561689823961231/,""" Bukan berapa lama, tapi seberapa baik Anda hidup adalah yang utama.""",F:\FOTO\UPLOAD\NANAS MUDA\1\4.JPG,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",F:\FOTO\UPLOAD\NANAS MUDA\1\4.JPG,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka","setuju keren banget , sukses terus yah ka",Up ,F:\FOTO\UPLOAD\NANAS MUDA\1\4.JPG,F:\FOTO\UPLOAD\NANAS MUDA\1\4.JPG,/groups/767302293633367/
/100026728450002/,groups/1582398678730693/,""" Hidup adalah petualangan yang berani atau tidak sama sekali."" - Helen Keller",F:\FOTO\UPLOAD\NANAS MUDA\1\5.JPG,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",F:\FOTO\UPLOAD\NANAS MUDA\1\5.JPG,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka","Keren banget ka, saya termotivasi dengan status kaka",minat dong ka,F:\FOTO\UPLOAD\NANAS MUDA\1\5.JPG,F:\FOTO\UPLOAD\NANAS MUDA\1\5.JPG,/groups/2317071581680073/
/100004191187440/,groups/1103995576298169/,""" Satu-satunya cara untuk melakukan pekerjaan hebat adalah dengan mencintai apa yang kamu lakukan."" - Steve Jobs",F:\FOTO\UPLOAD\NANAS MUDA\1\6.JPG,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",F:\FOTO\UPLOAD\NANAS MUDA\1\6.JPG,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka","setuju keren banget , sukses terus yah ka",ka ini harganya berapa ,F:\FOTO\UPLOAD\NANAS MUDA\1\6.JPG,F:\FOTO\UPLOAD\NANAS MUDA\1\6.JPG,/groups/606681553153647/
/340661709734342/,groups/236125624180884/,""" Hal pertama yang dilakukan orang sukses adalah memandang kegagalan sebagai sinyal positif untuk sukses.""",F:\FOTO\UPLOAD\NANAS MUDA\1\7.JPG,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",F:\FOTO\UPLOAD\NANAS MUDA\1\7.JPG,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka","Keren banget ka, saya termotivasi dengan status kaka",Up ,F:\FOTO\UPLOAD\NANAS MUDA\1\7.JPG,F:\FOTO\UPLOAD\NANAS MUDA\1\7.JPG,/groups/403466546471390/
/113310386107697/,groups/875005669593359/,""" Hidup setiap hari seolah-olah hidupmu baru saja dimulai."" - Johann Wolfgang von Goethe",F:\FOTO\UPLOAD\NANAS MUDA\1\8.JPG,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",F:\FOTO\UPLOAD\NANAS MUDA\1\8.JPG,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka","setuju keren banget , sukses terus yah ka",minat dong ka,F:\FOTO\UPLOAD\NANAS MUDA\1\8.JPG,F:\FOTO\UPLOAD\NANAS MUDA\1\8.JPG,/groups/971631126240784/
/100012572041312/,groups/354198922144755/,""" Hidup bukanlah tentang mendapatkan dan memiliki; ini tentang memberi dan menjadi."" - Kevin Kruse",F:\FOTO\UPLOAD\NANAS MUDA\1\9.JPG,"NANAS MUDA HIJAU & MERAH READY KIRIM KESELURUH INDONESIA, BISA BAYAR TEMPAT

Keterangan produk : 
1KG Nanas Muda  ISI = 2 BUAH Nanas 
Nanas Muda 100% ASLI  ( BISA BAYAR TEMPAT TANPA MINIMAL BELANJA) 
GARANSI ASLI 100% Nanas Muda ( UANG KEMBALI JIKA BUKAN Nanas Muda asli) 

Perbiji 15.000 (sekilo dapat menampung  2biji, ukuran -+ 400gr/500gr)
PACKING RAPIH, AMAN 
PENGIRIMAN SETIAP HARI (KHUSUS JNT, TGL MERAH TETEP BUKA YA)
PENGIRIMAN DI USAHAKAN PALING CEPAT
ALAMAT WAJIB LENGKAP SEBELUM ORDER YA??
BEGITU SAMPEI LANGSUNG KONSUMSI ATAU BISA DISIMPAN DIKULKAS (BEBERAPA HARI SAJA) UNTUK MENJAGA PRODUK TETAP SEGAR

PRODUK 100% ORIGINAL, FRESH & Muda (LANGSUNG PETIK DARI KEBUN Nanas SUBANG)
KHUSUS JNT, PENGIRIMAN SETIAP HARI YA (minggu dan tanggal merah tetep buka)
jika berminat untuk beli bisa order via WhatsApp 0812-1418-7191",F:\FOTO\UPLOAD\NANAS MUDA\1\9.JPG,"Hallo ka salam kenal, semoga kaka selalu diberikan kesehatan dan sukses selalu , izin berteman ka","Keren banget ka, saya termotivasi dengan status kaka",ka ini harganya berapa ,F:\FOTO\UPLOAD\NANAS MUDA\1\9.JPG,F:\FOTO\UPLOAD\NANAS MUDA\1\9.JPG,/groups/814266831955797/
