JUDUL,HARGA,KETERANGAN,KATEGORI,KONDISI,LOKASI,SKU ,FOTO1,FOTO2,FOTO3,FOTO4,FOTO5,FOTO6,FOTO7,FOTO8,FOTO9,FOTO10,LABEL1,LABEL2,LABEL3,LABEL4,LABEL5,LABEL6,LABEL7,LABEL8,LABEL9,LABEL10,LABEL11,LABEL12,LABEL13,LABEL14,LABEL15,LABEL16,LABEL17,LABEL18,LABEL19,LABEL20
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,Kuala Selangor,1,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide1.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,"Kajang, Malaysia",2,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide2.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,"Bangi, Malaysia",3,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide3.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,"Cheras, Selangor",4,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide4.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,"Kelanang, Negeri Sembilan, Malaysia",5,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide5.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,Klang,6,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide6.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,"Pelabohan Klang, Selangor, Malaysia",7,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide7.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,Ulu Klang,8,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide8.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,"Kampong Kuala Klang, Selangor, Malaysia",9,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide9.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,"ʀᴍ 𝟿𝟶.𝟶𝟶 𝟷ʙᴏᴛᴏʟ (ʜᴀʀɢᴀ ᴀsᴀʟ
ʀᴍ𝟷𝟸𝟶 sᴇʙᴏᴛᴏʟ) 
ᴊɪᴍᴀᴛ ʀᴍ𝟺𝟶: ʀᴍ𝟷𝟼𝟶.𝟶𝟶 
𝟸ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ
ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶.

ᴊɪᴍᴀᴛ ʀᴍ𝟷𝟻𝟿
ʀᴍ𝟸𝟶𝟶.𝟶𝟶 𝟹ʙᴏᴛᴏʟ ᴘᴇʀᴄᴜᴍᴀ 
𝟷ʙᴏᴛᴏʟ ᴄᴀᴘsᴜʟ ᴛᴏɴɢᴋᴀᴛ ᴀʟɪ ʙᴇʀɴɪʟᴀɪ ʀᴍ𝟼𝟿.𝟶𝟶 ᴊɪᴍᴀᴛ 𝟸𝟹𝟿",Lain-lain,Baru,"Kampong Ulu Klang, Selangor, Malaysia",10,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\01\Slide10.JPG,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180753.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180820.jpg,D:\PROJECT\JASA POSING\FACEBOOK MARKETPLACE\03\lampiran\IMG_20230131_180832.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
