JUDUL ,HARGA,KETERANGAN PRODUK,KATEGORI,KONDISI,LOKASI,SKU ,FOTO1,FOTO2,FOTO3,FOTO4,FOTO5,FOTO6,FOTO7,FOTO8,FOTO9,FOTO10,LABEL1,LABEL2,LABEL3,LABEL4,LABEL5,LABEL6,LABEL7,LABEL8,LABEL9,LABEL10,LABEL11,LABEL12,LABEL13,LABEL14,LABEL15,LABEL16,LABEL17,LABEL18,LABEL19,LABEL20
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,1,D:\PROJECT\JASA POSING\OLX\02\01\Slide1.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,2,D:\PROJECT\JASA POSING\OLX\02\01\Slide2.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,3,D:\PROJECT\JASA POSING\OLX\02\01\Slide3.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,4,D:\PROJECT\JASA POSING\OLX\02\01\Slide4.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,5,D:\PROJECT\JASA POSING\OLX\02\01\Slide5.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,6,D:\PROJECT\JASA POSING\OLX\02\01\Slide6.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,7,D:\PROJECT\JASA POSING\OLX\02\01\Slide7.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,8,D:\PROJECT\JASA POSING\OLX\02\01\Slide8.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,9,D:\PROJECT\JASA POSING\OLX\02\01\Slide9.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
,150000,"Bismillah di over kontrak RUKO (toko+tempat tinggalnya)
- Overkontak ruko sisa 10bulan lgi 
- Air sanyo udh ada toren
- Listrik token pulsa
- 2kamar tidur 
- 1kamar mandi
- 1dapur
- Di depan sudah ada tokonya bisa jualan warung nasi /apa aja,
Di jln pertigaan rame pagi sore,
WA 081285365761 
Di over 15jt Nego",Lain-lain,Baru,,10,D:\PROJECT\JASA POSING\OLX\02\01\Slide10.JPG,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0017.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0018.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0019.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0020.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\IMG-20230204-WA0021.jpg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.03.jpeg,D:\PROJECT\JASA POSING\OLX\02\overkontrakruko\WhatsApp Image 2023-02-04 at 18.31.04.jpeg,,,,,,,,,,,,,,,,,,,,,,
